7267 東証1部 ホンダ（輸送用機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","2800","2882.5","2792","2882.5","6257100","2882.5"
"2019-01-07","2962.5","3010","2954","2989","4846500","2989"
"2019-01-08","3025","3118","3021","3084","7684400","3084"
"2019-01-09","3119","3128","3089","3124","4281800","3124"
"2019-01-10","3074","3106","3065","3095","3729500","3095"
"2019-01-11","3131","3177","3119","3170","5368200","3170"
"2019-01-15","3184","3219","3160","3219","4536300","3219"
"2019-01-16","3203","3216","3165","3210","3390200","3210"
"2019-01-17","3204","3225","3186","3206","2808700","3206"
"2019-01-18","3219","3228","3199","3215","2912200","3215"
"2019-01-21","3253","3266","3234","3243","2588500","3243"
"2019-01-22","3265","3275","3226","3239","2263400","3239"
"2019-01-23","3218","3246","3185","3232","3143400","3232"
"2019-01-24","3188","3244","3188","3234","2660300","3234"
"2019-01-25","3266","3290","3250","3283","3663900","3283"
"2019-01-28","3283","3287","3243","3250","3180300","3250"
"2019-01-29","3237","3253","3212","3245","3647000","3245"
"2019-01-30","3287","3290","3232","3241","4135400","3241"
"2019-01-31","3288","3288","3241","3249","3528700","3249"
"2019-02-01","3247","3263","3223","3245","2890400","3245"
"2019-02-04","3105","3164","3101","3132","5731700","3132"
"2019-02-05","3102","3129","3050","3054","5458000","3054"
"2019-02-06","3060","3067","3035","3035","4555700","3035"
"2019-02-07","3004","3024","2971","3002","3821000","3002"
"2019-02-08","2982","2989","2926.5","2926.5","5034400","2926.5"
"2019-02-12","2926","2987","2916.5","2950","5624900","2950"
"2019-02-13","2986.5","3008","2957","3001","4662000","3001"
"2019-02-14","3055","3068","3013","3041","4858500","3041"
"2019-02-15","3011","3018","2969","2972.5","4458000","2972.5"
"2019-02-18","3015","3017","2996","3003","3330200","3003"
"2019-02-19","3000","3016","2983.5","3014","3032100","3014"
"2019-02-20","3051","3085","3018","3033","6510700","3033"
"2019-02-21","3074","3110","3067","3103","5751500","3103"
"2019-02-22","3089","3128","3062","3125","4381700","3125"
"2019-02-25","3159","3173","3147","3151","3949200","3151"
"2019-02-26","3140","3171","3136","3154","3262000","3154"
"2019-02-27","3154","3179","3151","3176","5051300","3176"
"2019-02-28","3153","3165","3134","3153","4845500","3153"
"2019-03-01","3160","3168","3149","3155","4269900","3155"
"2019-03-04","3167","3167","3095","3114","4303100","3114"
"2019-03-05","3100","3107","3086","3092","3632900","3092"
"2019-03-06","3099","3109","3087","3096","3532500","3096"
"2019-03-07","3066","3088","3040","3046","4045800","3046"
"2019-03-08","3025","3045","2984","2991.5","5781800","2991.5"
"2019-03-11","2997.5","3022","2990.5","3013","2425700","3013"
"2019-03-12","3037","3061","3027","3047","3722700","3047"
"2019-03-13","3055","3073","3005","3022","3912300","3022"
"2019-03-14","3042","3051","3018","3023","3798800","3023"
"2019-03-15","3046","3074","3044","3057","4792400","3057"
"2019-03-18","3065","3067","3036","3056","3233700","3056"
"2019-03-19","3066","3086","3056","3076","2923000","3076"
"2019-03-20","3093","3109","3083","3090","2967000","3090"
"2019-03-22","3060","3063","3023","3054","4215100","3054"
"2019-03-25","2984","2988","2940.5","2962.5","5342400","2962.5"
"2019-03-26","2987.5","3065","2982","3055","5911200","3055"
"2019-03-27","3039","3049","3011","3031","3882300","3031"
"2019-03-28","3000","3009","2981","3002","3531500","3002"
"2019-03-29","3017","3021","2991","2995","2784700","2995"
"2019-04-01","3040","3098","3040","3075","4034800","3075"
"2019-04-02","3113","3123","3086","3110","2920500","3110"
"2019-04-03","3115","3135","3109","3135","3677500","3135"
"2019-04-04","3150","3172","3142","3164","3436200","3164"
"2019-04-05","3150","3182","3138","3179","3022600","3179"
"2019-04-08","3168","3173","3118","3131","3284700","3131"
"2019-04-09","3127","3146","3120","3144","2353000","3144"
"2019-04-10","3110","3124","3103","3111","2266400","3111"
"2019-04-11","3071","3094","3069","3074","3634900","3074"
"2019-04-12","3085","3098","3078","3085","3359500","3085"
"2019-04-15","3125","3135","3101","3119","2916700","3119"
"2019-04-16","3091","3138","3088","3138","3353200","3138"
"2019-04-17","3162","3181","3153","3170","2711400","3170"
"2019-04-18","3190","3225","3188","3214","4024000","3214"
"2019-04-19","3205","3211","3174","3198","1852100","3198"
"2019-04-22","3197","3201","3164","3167","2297800","3167"
"2019-04-23","3180","3193","3169","3182","2618600","3182"
"2019-04-24","3172","3173","3083","3094","4452600","3094"
"2019-04-25","3088","3115","3079","3105","3142000","3105"
"2019-04-26","3100","3114","3083","3101","3315900","3101"
"2019-05-07","3094","3095","3038","3077","4680500","3077"
"2019-05-08","3054","3068","2984","2989.5","6071600","2989.5"
"2019-05-09","2977.5","2978.5","2846.5","2849.5","7313400","2849.5"
"2019-05-10","2883.5","2905","2816","2832","6205600","2832"
"2019-05-13","2832.5","2841.5","2811.5","2816.5","3589100","2816.5"
"2019-05-14","2781.5","2808","2761","2803","4035800","2803"
"2019-05-15","2796","2805","2758.5","2805","4155200","2805"
"2019-05-16","2825","2831","2772","2788","3892800","2788"
"2019-05-17","2814.5","2842.5","2786.5","2812","3377900","2812"
"2019-05-20","2828.5","2848","2805.5","2829.5","2442200","2829.5"
"2019-05-21","2809","2834","2793.5","2832.5","2681400","2832.5"
"2019-05-22","2843.5","2848","2824.5","2831.5","2944600","2831.5"
"2019-05-23","2807.5","2817.5","2789.5","2806.5","3421000","2806.5"
"2019-05-24","2771","2793","2753","2790","3944400","2790"
